Dirección,Precio USD,Terreno m2
Salvador Caputto 3100,140.000,287
Frutos 2500,140.000,470
Sara Faisal 1800,Solicitar precio,1400
25 de Mayo 2600,140.000,251.83
Huergo 3300,140.000,127
Arenales 1300,140.000,1400
Urquiza 3000,Solicitar precio,117
Bv Pellegrini 3100,Solicitar precio,61.64
Calle Presidente Bartolomé Mitre 1100,145.000,139
Gobernador Vera 3500,146.000,163
San Jerónimo 3400,Solicitar precio,92
Castellanos1 2000,148.000,278
Avenida Facundo Zuviría 4400,149.000,150
Amenábar 2700,149.000,301
Alvear 2600,149.000,92.25
Piedras 7900,150.000,154
3 de Febrero 3200,150.000,129
Riobamba 7500,150.000,129.9
Necochea 2800,150.000,2812
Alberdi 4400,150.000,177
Sara Pinasco de Julierac 300,150.000,300
Calle 12 S/n. Arroyo Leyes 0,150.000,604
25 de Mayo 2600,150.000,268
9 de Julio 4600,150.000,316
Sara Pinasco de Julierac 1700,150.000,433
